##,Player,GS,MIN,REB,PF,A,TO,BLK,STL,PTS,ORB,DRB,FG_pct,3PT_pct,FT_pct,Team,Date,Won
00,"00 Coughlan,Brendan",0,15,4,1,0,0,0,0,2,2,2,0,NA,1,Stevens,2025-11-22,0
01,"01 Nsenkyire,Jonathan",0,5,1,1,1,0,0,0,0,0,1,NA,NA,NA,Stevens,2025-11-22,0
TM,TM TEAM,0,0,4,0,0,0,0,0,0,2,2,NA,NA,NA,Stevens,2025-11-22,0
,Totals,NA,200,44,21,7,6,2,5,74,19,25,0.30434782608695654,0.1111111111111111,0.7435897435897436,Stevens,2025-11-22,0
33,"33 Plesser,Jack",1,27,10,4,1,1,0,0,26,3,7,0.5238095238095238,1,0.75,Middlebury,2025-11-20,1
05,"05 Tedesco,Tanner",1,36,4,0,6,2,0,0,18,0,4,0.7777777777777778,0.8,NA,Middlebury,2025-11-20,1
24,"24 Dufort,Christian",1,33,11,0,3,0,1,0,16,0,11,0.45454545454545453,0.25,0.8,Middlebury,2025-11-20,1
21,"21 Daterao,Neil",1,12,4,0,0,0,0,0,2,3,1,0.5,NA,NA,Middlebury,2025-11-20,1
12,"12 Garside,Matthew",1,36,1,3,2,5,0,3,0,0,1,0,0,0,Middlebury,2025-11-20,1
44,"44 Schmitt,Scott",0,12,1,3,0,1,2,1,8,0,1,0.6,NA,1,Middlebury,2025-11-20,1
40,"40 Moffitt,Trace",0,6,0,1,0,0,0,0,2,0,0,0.5,0,NA,Middlebury,2025-11-20,1
03,"03 Collins,Harrison",0,19,2,2,0,1,2,0,0,0,2,0,0,NA,Middlebury,2025-11-20,1
14,"14 Furse,Cade",0,14,3,0,1,0,0,0,0,2,1,0,0,NA,Middlebury,2025-11-20,1
25,"25 Cullinan,Pat",0,5,0,0,0,2,0,1,0,0,0,NA,NA,NA,Middlebury,2025-11-20,1
TM,TM TEAM,0,0,3,0,0,0,0,0,0,1,2,NA,NA,NA,Middlebury,2025-11-20,1
,Totals,NA,200,39,13,13,12,5,5,72,9,30,0.4444444444444444,0.28,0.6923076923076923,Middlebury,2025-11-20,1
11,"11 Murray, Ian",1,32,5,1,4,1,0,2,15,1,4,0.5384615384615384,0.2,NA,(NY),2025-11-20,0
02,"02 Flaks, Evan",1,17,1,2,2,0,0,1,6,0,1,0.5,0,NA,(NY),2025-11-20,0
15,"15 Fuerbacher, Justin",1,16,3,1,1,0,0,0,2,1,2,0.16666666666666666,0,0,(NY),2025-11-20,0
13,"13 Newell, Mark",1,15,10,1,1,0,0,0,1,7,3,0,NA,0.5,(NY),2025-11-20,0
12,"12 Witherington, Edward",1,15,4,1,0,0,0,0,0,0,4,0,0,NA,(NY),2025-11-20,0
20,"20 Ducree, Dominick",0,25,2,2,1,5,0,1,23,1,1,0.5,0.6363636363636364,NA,(NY),2025-11-20,0
01,"01 Cwalina, Kuba",0,26,3,1,1,2,0,1,13,0,3,0.38461538461538464,0.3333333333333333,NA,(NY),2025-11-20,0
31,"31 Morrison, Henry",0,19,8,2,1,0,1,0,10,4,4,0.5714285714285714,0.5,1,(NY),2025-11-20,0
21,"21 McKersie, Jackson",0,13,2,3,1,0,1,0,3,1,1,1,NA,0.5,(NY),2025-11-20,0
04,"04 Ramey, Sawyer",0,19,3,0,6,1,0,0,0,0,3,0,0,NA,(NY),2025-11-20,0
23,"23 Lee, Donovan",0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,(NY),2025-11-20,0
TM,TM TEAM,0,0,3,0,0,0,0,0,0,0,3,NA,NA,NA,(NY),2025-11-20,0
,Totals,NA,200,44,14,18,9,2,5,73,15,29,0.3972602739726027,0.3157894736842105,0.42857142857142855,(NY),2025-11-20,0
12,"12 Witherington, Edward",1,32,7,2,1,0,1,1,16,1,6,0.5,0.42857142857142855,1,Middlebury,2025-11-14,0
04,"04 Ramey, Sawyer",1,33,7,4,2,4,0,0,12,1,6,0.4444444444444444,0.4,1,Middlebury,2025-11-14,0
02,"02 Flaks, Evan",1,27,3,1,7,1,0,0,8,1,2,0.375,0.4,NA,Middlebury,2025-11-14,0
15,"15 Fuerbacher, Justin",1,8,2,5,0,0,0,1,3,2,0,0.5,NA,0.5,Middlebury,2025-11-14,0
13,"13 Newell, Mark",1,27,7,1,1,0,0,0,0,2,5,0,NA,NA,Middlebury,2025-11-14,0
11,"11 Murray, Ian",0,20,2,4,1,2,0,0,21,0,2,0.5,0.42857142857142855,0.6666666666666666,Middlebury,2025-11-14,0
01,"01 Cwalina, Kuba",0,22,2,1,0,0,0,1,16,2,0,0.45454545454545453,0.2,0.7142857142857143,Middlebury,2025-11-14,0
20,"20 Ducree, Dominick",0,17,1,4,1,0,0,2,9,0,1,0.3333333333333333,0,0.7142857142857143,Middlebury,2025-11-14,0
31,"31 Morrison, Henry",0,9,2,2,0,2,0,0,2,1,1,1,NA,NA,Middlebury,2025-11-14,0
05,"05 Urena, Oliver",0,3,1,0,0,0,0,0,0,1,0,0,NA,NA,Middlebury,2025-11-14,0
23,"23 Lee, Donovan",0,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2025-11-14,0
TM,TM TEAM,0,0,4,0,0,0,0,0,0,2,2,NA,NA,NA,Middlebury,2025-11-14,0
,Totals,NA,200,38,25,13,9,1,5,87,13,25,0.43283582089552236,0.3548387096774194,0.72,Middlebury,2025-11-14,0
05,"05 Fantom,Charlie",1,32,7,2,1,3,0,1,22,0,7,0.7,0.7,0.5,Skidmore,2025-11-14,1
02,"02 Roy,Aidan",1,28,2,2,7,2,2,1,21,0,2,0.5,0.3333333333333333,1,Skidmore,2025-11-14,1
14,"14 Skoric,Joey",1,23,6,4,0,4,3,0,16,1,5,0.625,0.6666666666666666,1,Skidmore,2025-11-14,1
15,"15 Gooden,Jacob",1,34,1,2,3,1,2,2,14,0,1,0.5714285714285714,1,0.625,Skidmore,2025-11-14,1
04,"04 Daphnis,Hakeem",1,28,4,3,2,0,0,3,2,0,4,0.25,0,0,Skidmore,2025-11-14,1
20,"20 Wertz,Will",0,23,3,4,0,0,0,2,8,2,1,0.4,0,0.6666666666666666,Skidmore,2025-11-14,1
32,"32 LaGarde,Jack",0,9,3,4,0,0,0,0,4,2,1,0.3333333333333333,NA,NA,Skidmore,2025-11-14,1
11,"11 Weisberg,Charlie",0,11,1,1,0,0,0,0,3,0,1,0.3333333333333333,0.3333333333333333,NA,Skidmore,2025-11-14,1
12,"12 Sithole,Fumani",0,1,0,0,0,0,0,0,1,0,0,NA,NA,0.5,Skidmore,2025-11-14,1
33,"33 Ameden,Will",0,7,2,1,0,0,0,0,0,1,1,NA,NA,NA,Skidmore,2025-11-14,1
10,"10 McCafferty,Dillon",0,4,2,0,0,0,0,0,0,0,2,NA,NA,NA,Skidmore,2025-11-14,1
TM,TM TEAM,0,0,3,0,0,0,0,0,0,0,3,NA,NA,NA,Skidmore,2025-11-14,1
,Totals,NA,200,34,23,13,10,7,9,91,6,28,0.5094339622641509,0.5217391304347826,0.7352941176470589,Skidmore,2025-11-14,1
33,"33 Stevens, Sam",1,35,5,1,0,4,0,0,28,1,4,0.6190476190476191,0.3333333333333333,0.5,Middlebury,2024-11-16,1
02,"02 Flaks, Evan",1,29,1,1,2,0,0,2,6,0,1,0.5,0,NA,Middlebury,2024-11-16,1
03,"03 Joseph, Tristan",1,34,3,0,0,2,0,0,4,0,3,0.1,0.16666666666666666,0.5,Middlebury,2024-11-16,1
24,"24 Brennan, David",1,32,9,2,3,1,0,0,4,5,4,0.25,NA,1,Middlebury,2024-11-16,1
13,"13 Newell, Mark",1,19,8,1,0,1,0,0,0,2,6,0,NA,NA,Middlebury,2024-11-16,1
01,"01 Cwalina, Kuba",0,19,4,1,0,1,0,0,13,1,3,0.5,0.6666666666666666,1,Middlebury,2024-11-16,1
12,"12 Witherington, Edward",0,18,5,2,0,1,1,0,9,2,3,0.42857142857142855,0.3333333333333333,1,Middlebury,2024-11-16,1
04,"04 Ramey, Sawyer",0,11,1,0,3,1,0,0,0,0,1,0,0,NA,Middlebury,2024-11-16,1
05,"05 Urena, Oliver",0,2,1,0,0,1,0,0,0,0,1,NA,NA,NA,Middlebury,2024-11-16,1
15,"15 Smith, Dean",0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2024-11-16,1
TM,TM TEAM,0,0,8,0,0,1,0,0,0,6,2,NA,NA,NA,Middlebury,2024-11-16,1
,Totals,NA,200,45,8,8,13,1,2,64,17,28,0.4166666666666667,0.2777777777777778,0.8181818181818182,Middlebury,2024-11-16,1
15,"15 Feldrappe,Friedrich",1,37,5,0,4,1,3,2,21,2,3,0.5,0,1,(CT),2024-11-16,0
24,"24 Cummings,Kevin",1,32,2,0,0,0,0,0,9,0,2,0.3333333333333333,0.125,0,(CT),2024-11-16,0
32,"32 Tertulien,Jakari",1,28,5,1,0,0,0,2,9,0,5,0.5,NA,1,(CT),2024-11-16,0
11,"11 Altenor,Lence",1,28,1,4,1,1,0,0,8,0,1,0.5,0.6666666666666666,NA,(CT),2024-11-16,0
02,"02 Dupree,Tahmeen",1,19,5,2,1,1,0,0,4,2,3,0.4,NA,NA,(CT),2024-11-16,0
14,"14 Eley,Malcolm",0,20,3,1,2,0,1,1,4,1,2,0.4,0,NA,(CT),2024-11-16,0
01,"01 Jackson,Tyshawn",0,15,2,2,0,0,0,0,4,2,0,0.5,NA,0,(CT),2024-11-16,0
35,"35 Acevedo,Tony",0,7,4,0,0,0,0,0,2,2,2,0.3333333333333333,NA,NA,(CT),2024-11-16,0
23,"23 Cisse,Adelphe",0,3,1,0,0,0,1,0,2,0,1,0.5,NA,NA,(CT),2024-11-16,0
03,"03 Box,Jonathan",0,11,0,2,0,0,0,0,0,0,0,0,NA,NA,(CT),2024-11-16,0
TM,TM TEAM,0,0,1,0,0,1,0,0,0,1,0,NA,NA,NA,(CT),2024-11-16,0
,Totals,NA,200,29,12,8,4,5,5,63,10,19,0.421875,0.1875,0.6,(CT),2024-11-16,0
11,11 Bruce Saintilus,1,34,4,2,2,2,0,0,24,1,3,0.4375,0.5,1,Middlebury,2024-11-20,1
44,44 Kekoa McArdle,1,31,10,3,0,2,0,1,14,6,4,0.4375,NA,NA,Middlebury,2024-11-20,1
13,13 Reid Neumann,1,26,1,5,1,0,0,1,9,0,1,0.25,0.25,NA,Middlebury,2024-11-20,1
24,24 Quentin Pridgen,1,26,2,3,2,2,0,1,5,0,2,0.3333333333333333,0.3333333333333333,NA,Middlebury,2024-11-20,1
23,23 Jordan Richard,1,26,2,1,0,0,0,0,5,1,1,0.6666666666666666,0.5,NA,Middlebury,2024-11-20,1
30,30 Boluwasefe John,0,22,6,2,0,1,1,1,6,4,2,0.2857142857142857,0,1,Middlebury,2024-11-20,1
00,00 Kyle Squires,0,13,1,0,0,0,0,1,5,0,1,0.4,0.3333333333333333,NA,Middlebury,2024-11-20,1
02,02 Christopher Clarke,0,13,2,1,0,0,0,0,0,0,2,0,0,NA,Middlebury,2024-11-20,1
03,03 Ian Calabrese,0,6,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2024-11-20,1
12,12 Nathan Charlot,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,Middlebury,2024-11-20,1
14,14 Malik Matanmi,0,1,1,0,0,0,0,0,0,1,0,0,NA,NA,Middlebury,2024-11-20,1
TM,TM TEAM,0,0,4,0,0,1,0,0,0,3,1,NA,NA,NA,Middlebury,2024-11-20,1
,Totals,NA,200,33,17,5,8,1,5,68,16,17,0.35714285714285715,0.3225806451612903,1,Middlebury,2024-11-20,1
33,"33 Stevens, Sam",1,34,5,3,3,4,1,2,25,0,5,0.5384615384615384,0.25,0.8333333333333334,(MA),2024-11-20,0
03,"03 Joseph, Tristan",1,33,5,3,4,2,1,1,18,0,5,0.5,0.3333333333333333,0.8,(MA),2024-11-20,0
02,"02 Flaks, Evan",1,27,1,0,2,1,0,0,6,0,1,0.42857142857142855,NA,NA,(MA),2024-11-20,0
24,"24 Brennan, David",1,27,10,0,0,2,0,1,6,3,7,0.5,NA,1,(MA),2024-11-20,0
13,"13 Newell, Mark",1,22,7,4,1,0,2,0,2,4,3,0.5,0,0,(MA),2024-11-20,0
01,"01 Cwalina, Kuba",0,21,1,0,0,0,0,1,10,0,1,0.5,0.4,NA,(MA),2024-11-20,0
12,"12 Witherington, Edward",0,19,2,3,0,1,0,0,5,1,1,0.4,1,NA,(MA),2024-11-20,0
04,"04 Ramey, Sawyer",0,13,3,0,2,0,0,0,3,0,3,0.5,0.5,NA,(MA),2024-11-20,0
05,"05 Urena, Oliver",0,4,3,0,0,1,0,0,0,2,1,0,NA,NA,(MA),2024-11-20,0
11,"11 Murray, Ian",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,(MA),2024-11-20,0
TM,TM TEAM,0,0,4,0,0,1,0,0,0,2,2,NA,NA,NA,(MA),2024-11-20,0
,Totals,NA,200,41,13,12,12,4,5,75,12,29,0.4727272727272727,0.3684210526315789,0.7619047619047619,(MA),2024-11-20,0
05,05 Kyle Maddison,1,34,3,3,1,4,0,1,18,3,0,0.5384615384615384,0.6666666666666666,NA,Middlebury,2024-11-23,1
14,14 Harmehar Chhabra,1,34,2,1,1,1,0,2,18,1,1,0.42857142857142855,0.3333333333333333,1,Middlebury,2024-11-23,1
32,32 Jack Spellman,1,35,13,2,1,3,3,0,14,4,9,0.5,NA,0.5,Middlebury,2024-11-23,1
01,01 Mike Goodall,1,36,6,1,2,6,0,2,9,4,2,0.2727272727272727,0,0.5,Middlebury,2024-11-23,1
22,22 Tommy Scholl,1,34,6,3,2,1,1,3,3,2,4,0.1111111111111111,0.14285714285714285,NA,Middlebury,2024-11-23,1
11,11 Matt Leming,0,10,2,1,0,0,0,0,3,0,2,0.3333333333333333,0.5,NA,Middlebury,2024-11-23,1
00,00 Brendan Coughlan,0,11,0,2,0,0,0,0,0,0,0,0,0,NA,Middlebury,2024-11-23,1
02,02 Will Kwasigroch,0,6,0,0,1,1,0,0,0,0,0,NA,NA,NA,Middlebury,2024-11-23,1
TM,TM TEAM,0,0,9,0,0,0,0,0,0,7,2,NA,NA,NA,Middlebury,2024-11-23,1
,Totals,NA,200,41,13,8,16,4,8,65,21,20,0.36923076923076925,0.32,0.6428571428571429,Middlebury,2024-11-23,1
03,"03 Joseph, Tristan",1,31,3,1,0,3,0,2,28,1,2,0.6428571428571429,0.7272727272727273,1,Stevens,2024-11-23,0
33,"33 Stevens, Sam",1,32,5,2,5,4,1,0,13,1,4,0.3333333333333333,0.14285714285714285,1,Stevens,2024-11-23,0
24,"24 Brennan, David",1,25,8,5,3,0,0,1,4,5,3,0.5,NA,1,Stevens,2024-11-23,0
02,"02 Flaks, Evan",1,27,4,3,4,1,0,2,3,0,4,0.2,0.5,NA,Stevens,2024-11-23,0
13,"13 Newell, Mark",1,19,6,0,1,0,1,0,0,2,4,0,NA,NA,Stevens,2024-11-23,0
12,"12 Witherington, Edward",0,24,5,1,1,2,0,2,20,2,3,0.7,0.8,1,Stevens,2024-11-23,0
01,"01 Cwalina, Kuba",0,19,1,1,0,1,0,0,7,0,1,0.2857142857142857,0.5,0.5,Stevens,2024-11-23,0
04,"04 Ramey, Sawyer",0,17,3,0,4,2,0,3,1,0,3,0,0,0.5,Stevens,2024-11-23,0
05,"05 Urena, Oliver",0,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,Stevens,2024-11-23,0
35,"35 Schmitt, Scott",0,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,Stevens,2024-11-23,0
TM,TM TEAM,0,0,4,0,0,1,0,0,0,4,0,NA,NA,NA,Stevens,2024-11-23,0
,Totals,NA,200,39,14,18,14,2,10,76,15,24,0.4166666666666667,0.5,0.8333333333333334,Stevens,2024-11-23,0
01,"01 Tabb,Kevin",1,22,5,2,0,2,0,0,10,2,3,0.3,1,1,Middlebury,2024-11-25,1
00,"00 Infante,Franklin",1,26,6,1,3,2,0,2,4,2,4,0.2857142857142857,NA,NA,Middlebury,2024-11-25,1
35,"35 Connell Jr.,Irwayne",1,23,2,1,1,2,2,1,2,0,2,0.14285714285714285,0,NA,Middlebury,2024-11-25,1
03,"03 Smith,Jeremiah",1,22,0,2,1,3,1,2,2,0,0,0,0,1,Middlebury,2024-11-25,1
15,"15 Graves,Ladan",1,8,2,0,0,0,0,0,0,1,1,0,NA,NA,Middlebury,2024-11-25,1
13,"13 Welch,Kareem",0,25,4,1,5,0,2,2,21,2,2,0.5,0.5,1,Middlebury,2024-11-25,1
22,"22 Johnson,Damari",0,22,5,0,1,1,0,0,8,0,5,0.2222222222222222,0.25,1,Middlebury,2024-11-25,1
11,"11 Kone-Bradshaw,Matt",0,6,0,0,0,2,0,0,4,0,0,0.6666666666666666,NA,NA,Middlebury,2024-11-25,1
21,"21 Pondexter Jr.,Nate",0,6,1,0,0,0,1,0,4,1,0,0.6666666666666666,NA,NA,Middlebury,2024-11-25,1
04,"04 Gladney,Jaiden",0,5,0,0,1,0,0,1,3,0,0,0.5,0.5,NA,Middlebury,2024-11-25,1
02,"02 Williams Jr.,AJ",0,9,3,0,0,0,0,0,2,1,2,0.5,NA,NA,Middlebury,2024-11-25,1
23,"23 Machteng,Wol",0,9,1,0,0,0,0,2,0,0,1,NA,NA,NA,Middlebury,2024-11-25,1
10,"10 Vidrini,Sasha",0,8,2,0,0,1,2,0,0,0,2,0,0,NA,Middlebury,2024-11-25,1
25,"25 McGuire,Aidan",0,6,0,1,0,0,0,0,0,0,0,0,NA,NA,Middlebury,2024-11-25,1
32,"32 Hartig,Colin",0,3,0,0,0,0,0,0,0,0,0,0,NA,NA,Middlebury,2024-11-25,1
TM,TM TEAM,0,0,3,0,0,0,0,0,0,1,2,NA,NA,NA,Middlebury,2024-11-25,1
,Totals,NA,200,34,8,12,13,8,10,60,10,24,0.32857142857142857,0.3125,1,Middlebury,2024-11-25,1
33,"33 Stevens, Sam",1,27,4,1,5,5,0,0,18,1,3,0.6153846153846154,0.6666666666666666,NA,St.,2024-11-25,0
01,"01 Cwalina, Kuba",1,24,3,0,1,1,0,1,16,1,2,0.3888888888888889,0.25,NA,St.,2024-11-25,0
02,"02 Flaks, Evan",1,20,1,2,4,1,0,0,12,0,1,0.625,0,0.6666666666666666,St.,2024-11-25,0
13,"13 Newell, Mark",1,17,10,1,0,1,0,0,8,1,9,1,NA,1,St.,2024-11-25,0
24,"24 Brennan, David",1,26,8,1,4,0,2,4,4,5,3,0.2857142857142857,NA,NA,St.,2024-11-25,0
04,"04 Ramey, Sawyer",0,20,4,1,2,1,1,1,8,0,4,0.6,0.6666666666666666,NA,St.,2024-11-25,0
12,"12 Witherington, Edward",0,15,3,0,0,0,0,0,6,1,2,0.5,0,NA,St.,2024-11-25,0
11,"11 Murray, Ian",0,16,1,1,2,1,0,0,5,0,1,0.5,0.3333333333333333,NA,St.,2024-11-25,0
15,"15 Smith, Dean",0,8,2,0,0,0,0,0,5,0,2,0.5,0.5,NA,St.,2024-11-25,0
14,"14 Alberts, Maxwell",0,6,0,0,1,0,0,0,5,0,0,0.4,0.25,NA,St.,2024-11-25,0
31,"31 Morrison, Henry",0,5,3,0,0,0,0,0,2,1,2,1,NA,NA,St.,2024-11-25,0
05,"05 Urena, Oliver",0,11,6,0,2,1,0,1,1,1,5,0,0,0.5,St.,2024-11-25,0
35,"35 Schmitt, Scott",0,5,3,1,0,2,0,0,0,1,2,NA,NA,NA,St.,2024-11-25,0
TM,TM TEAM,0,0,2,0,0,0,0,0,0,2,0,NA,NA,NA,St.,2024-11-25,0
,Totals,NA,200,50,8,21,13,3,7,90,14,36,0.5066666666666667,0.3333333333333333,0.7142857142857143,St.,2024-11-25,0
01,"01 Cwalina, Kuba",1,26,1,0,0,1,0,0,22,0,1,0.45,0.36363636363636365,NA,Middlebury,2024-12-01,1
33,"33 Stevens, Sam",1,32,4,3,6,1,0,0,16,0,4,0.35714285714285715,0,0.8571428571428571,Middlebury,2024-12-01,1
02,"02 Flaks, Evan",1,27,5,0,7,4,0,0,16,1,4,0.5454545454545454,0.5714285714285714,NA,Middlebury,2024-12-01,1
24,"24 Brennan, David",1,29,23,1,4,1,0,0,5,12,11,1,NA,0.5,Middlebury,2024-12-01,1
13,"13 Newell, Mark",1,22,6,4,0,0,1,1,0,1,5,0,NA,NA,Middlebury,2024-12-01,1
12,"12 Witherington, Edward",0,19,4,1,0,1,0,0,19,2,2,0.6153846153846154,0.5,0.5,Middlebury,2024-12-01,1
05,"05 Urena, Oliver",0,6,2,1,0,1,0,0,4,0,2,1,NA,1,Middlebury,2024-12-01,1
11,"11 Murray, Ian",0,13,1,0,0,0,0,1,3,0,1,0.25,0.5,NA,Middlebury,2024-12-01,1
15,"15 Smith, Dean",0,6,0,0,0,0,0,0,3,0,0,0.5,0.5,NA,Middlebury,2024-12-01,1
35,"35 Schmitt, Scott",0,2,1,0,0,0,0,0,2,1,0,1,NA,NA,Middlebury,2024-12-01,1
04,"04 Ramey, Sawyer",0,14,2,1,3,0,0,0,0,0,2,0,0,NA,Middlebury,2024-12-01,1
14,"14 Alberts, Maxwell",0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2024-12-01,1
31,"31 Morrison, Henry",0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2024-12-01,1
TM,TM TEAM,0,0,5,0,0,0,0,0,0,3,2,NA,NA,NA,Middlebury,2024-12-01,1
,Totals,NA,200,54,11,20,9,1,2,90,20,34,0.4583333333333333,0.375,0.7058823529411765,Middlebury,2024-12-01,1
34,34 Marcus Montagnino,1,31,6,3,7,2,0,1,15,1,5,0.5833333333333334,0,0.3333333333333333,Endicott,2024-12-01,0
10,10 Jeff Hill,1,26,2,3,2,0,0,1,12,0,2,0.38461538461538464,0.5,NA,Endicott,2024-12-01,0
23,23 Elijah Kinney,1,34,5,0,2,0,2,1,8,2,3,0.5,0.5,0.5,Endicott,2024-12-01,0
44,44 Parker McLaren,1,18,2,2,0,0,0,0,6,0,2,0.3333333333333333,0.5,NA,Endicott,2024-12-01,0
12,12 Cam Keliher,1,21,3,3,1,0,0,0,2,0,3,0.25,0,NA,Endicott,2024-12-01,0
04,04 AJ Forte,0,24,2,0,0,0,0,0,22,0,2,0.7,0.875,0.5,Endicott,2024-12-01,0
05,05 Drew Brown,0,17,0,3,0,0,0,0,10,0,0,0.42857142857142855,0.5,1,Endicott,2024-12-01,0
11,11 Nate Lapham,0,2,0,0,0,0,0,0,3,0,0,1,1,NA,Endicott,2024-12-01,0
20,20 Max Grenert,0,11,2,1,1,1,0,1,0,0,2,0,0,NA,Endicott,2024-12-01,0
15,15 Carter Koenig,0,7,1,0,1,0,0,0,0,0,1,0,0,NA,Endicott,2024-12-01,0
32,32 Taylor Yates,0,6,1,0,0,0,0,0,0,1,0,0,0,NA,Endicott,2024-12-01,0
03,03 Sidney Hall,0,2,1,0,1,0,0,0,0,1,0,0,NA,NA,Endicott,2024-12-01,0
13,13 Wilson Bennett,0,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,Endicott,2024-12-01,0
TM,TM TEAM,0,0,2,0,0,0,0,0,0,1,1,NA,NA,NA,Endicott,2024-12-01,0
,Totals,NA,200,27,15,16,3,2,5,78,6,21,0.43283582089552236,0.4411764705882353,0.5555555555555556,Endicott,2024-12-01,0
13,"13 Gomeau,Nick",1,35,5,4,2,0,1,0,25,1,4,0.625,0,0.8333333333333334,Middlebury,2024-12-04,1
14,"14 Williams,Alex",1,38,11,1,1,3,1,3,20,1,10,0.35,0.3333333333333333,0.8,Middlebury,2024-12-04,1
01,"01 Strazzeri,Mike",1,29,3,1,0,2,0,0,6,0,3,0.6,0,NA,Middlebury,2024-12-04,1
22,"22 MacLeod,Aiden",1,30,2,0,2,0,2,0,5,0,2,0.2857142857142857,NA,0.5,Middlebury,2024-12-04,1
15,"15 Francis,Jalen",1,17,1,1,0,2,0,1,2,0,1,0.5,NA,NA,Middlebury,2024-12-04,1
21,"21 Montejo,Luke",0,20,2,1,0,0,0,0,4,0,2,0.5,0,NA,Middlebury,2024-12-04,1
07,"07 Emadamerho,Kenray",0,13,2,2,0,0,0,0,2,1,1,0.5,NA,NA,Middlebury,2024-12-04,1
02,"02 Dzarnowski,Kyle",0,9,0,0,1,1,0,2,0,0,0,0,NA,NA,Middlebury,2024-12-04,1
12,"12 O'Keefe,Shawn",0,9,0,1,0,0,0,0,0,0,0,0,0,NA,Middlebury,2024-12-04,1
TM,TM TEAM,0,0,6,0,0,0,0,0,0,2,4,NA,NA,NA,Middlebury,2024-12-04,1
,Totals,NA,200,32,11,6,8,4,6,64,5,27,0.4482758620689655,0.16666666666666666,0.7692307692307693,Middlebury,2024-12-04,1
01,"01 Cwalina, Kuba",1,34,4,1,1,2,1,1,24,1,3,0.4666666666666667,0.5,1,Col.,2024-12-04,0
02,"02 Flaks, Evan",1,29,2,2,4,1,0,0,21,0,2,0.5333333333333333,0.8333333333333334,NA,Col.,2024-12-04,0
33,"33 Stevens, Sam",1,29,4,2,3,1,0,1,15,0,4,0.3333333333333333,0.375,1,Col.,2024-12-04,0
13,"13 Newell, Mark",1,20,3,4,2,2,0,0,2,2,1,1,NA,NA,Col.,2024-12-04,0
24,"24 Brennan, David",1,27,15,2,3,0,1,2,0,6,9,0,NA,NA,Col.,2024-12-04,0
12,"12 Witherington, Edward",0,22,6,3,2,0,1,1,10,1,5,0.6,1,1,Col.,2024-12-04,0
05,"05 Urena, Oliver",0,13,1,0,0,0,0,0,4,0,1,0.5,1,0.5,Col.,2024-12-04,0
04,"04 Ramey, Sawyer",0,12,2,0,2,1,1,1,0,0,2,0,0,NA,Col.,2024-12-04,0
11,"11 Murray, Ian",0,8,1,0,0,1,1,0,0,0,1,0,0,NA,Col.,2024-12-04,0
15,"15 Smith, Dean",0,4,1,1,0,1,1,0,0,0,1,0,0,NA,Col.,2024-12-04,0
14,"14 Alberts, Maxwell",0,2,0,1,0,0,0,0,0,0,0,0,0,NA,Col.,2024-12-04,0
TM,TM TEAM,0,0,2,0,0,0,0,0,0,1,1,NA,NA,NA,Col.,2024-12-04,0
,Totals,NA,200,41,16,17,9,6,6,76,11,30,0.3968253968253968,0.46875,0.9166666666666666,Col.,2024-12-04,0
33,"33 Stevens, Sam",1,35,6,2,0,3,0,1,20,2,4,0.3888888888888889,0.3333333333333333,0.6666666666666666,Middlebury,2024-12-08,0
02,"02 Flaks, Evan",1,29,5,3,1,2,0,1,18,0,5,0.47058823529411764,0.3333333333333333,NA,Middlebury,2024-12-08,0
01,"01 Cwalina, Kuba",1,27,5,4,1,1,0,0,15,1,4,0.2777777777777778,0.16666666666666666,1,Middlebury,2024-12-08,0
24,"24 Brennan, David",1,30,10,0,4,1,1,4,4,3,7,0.2857142857142857,0,NA,Middlebury,2024-12-08,0
13,"13 Newell, Mark",1,17,4,4,0,1,0,1,2,1,3,1,NA,NA,Middlebury,2024-12-08,0
12,"12 Witherington, Edward",0,28,6,5,0,2,0,0,10,2,4,0.4444444444444444,0.25,1,Middlebury,2024-12-08,0
04,"04 Ramey, Sawyer",0,16,4,0,1,1,0,1,6,1,3,0.3333333333333333,0,1,Middlebury,2024-12-08,0
05,"05 Urena, Oliver",0,15,1,1,1,1,0,0,0,1,0,0,0,NA,Middlebury,2024-12-08,0
11,"11 Murray, Ian",0,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2024-12-08,0
14,"14 Alberts, Maxwell",0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2024-12-08,0
TM,TM TEAM,0,0,8,0,0,0,0,0,0,6,2,NA,NA,NA,Middlebury,2024-12-08,0
,Totals,NA,200,49,20,8,12,1,8,75,17,32,0.3717948717948718,0.24,0.8461538461538461,Middlebury,2024-12-08,0
