##,Player,GS,MIN,REB,PF,A,TO,BLK,STL,PTS,ORB,DRB,FG_pct,3PT_pct,FT_pct,Team,Date,Won
07,"07 Baker,Jason",1,37,4,2,3,6,1,0,19,1,3,0.375,0.5714285714285714,0.5,Middlebury,2026-02-03,1
12,"12 Carter,Matthew",1,30,2,0,0,2,1,2,15,0,2,0.5384615384615384,NA,1,Middlebury,2026-02-03,1
13,"13 Chisholm,Jordan",1,30,3,0,2,1,0,2,14,0,3,0.35714285714285715,0.4,0,Middlebury,2026-02-03,1
24,"24 Semega,Mohammed",1,27,5,4,1,3,0,3,11,3,2,0.4,1,0.5,Middlebury,2026-02-03,1
03,"03 Frierson,Darone",1,22,1,1,3,1,0,0,9,1,0,0.6,0.75,NA,Middlebury,2026-02-03,1
04,"04 Brown,Jaylen",0,23,3,0,1,1,0,3,4,0,3,0.4,0,NA,Middlebury,2026-02-03,1
10,"10 Askenazi,Martin",0,23,4,2,4,0,0,0,4,0,4,0.5,NA,1,Middlebury,2026-02-03,1
11,"11 Matlock,Chase",0,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-02-03,1
05,"05 Philliips,Andrew",0,2,1,0,0,0,0,0,0,0,1,NA,NA,NA,Middlebury,2026-02-03,1
23,"23 Briggs,Aiden",0,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-02-03,1
TM,TM TEAM,0,0,7,0,0,0,0,0,0,2,5,NA,NA,NA,Middlebury,2026-02-03,1
,Totals,NA,200,30,10,14,14,2,10,76,7,23,0.4307692307692308,0.5217391304347826,0.5714285714285714,Middlebury,2026-02-03,1
02,"02 Flaks, Evan",1,13,4,1,4,3,0,1,14,1,3,0.75,0.6666666666666666,NA,VTSU-Johnson,2026-02-03,0
15,"15 Fuerbacher, Justin",1,29,6,1,1,2,0,1,12,1,5,0.5,0,1,VTSU-Johnson,2026-02-03,0
12,"12 Witherington, Edward",1,17,6,3,3,0,0,0,10,4,2,0.35714285714285715,0,NA,VTSU-Johnson,2026-02-03,0
11,"11 Murray, Ian",1,21,7,1,0,1,0,1,7,3,4,0.42857142857142855,0.5,NA,VTSU-Johnson,2026-02-03,0
21,"21 McKersie, Jackson",1,12,3,4,1,1,0,1,3,1,2,0,NA,0.75,VTSU-Johnson,2026-02-03,0
04,"04 Ramey, Sawyer",0,24,3,0,3,1,0,2,16,1,2,0.46153846153846156,0.2857142857142857,1,VTSU-Johnson,2026-02-03,0
24,"24 Merker, Devin",0,17,2,2,2,2,0,1,15,2,0,0.5,0.2857142857142857,0.5,VTSU-Johnson,2026-02-03,0
01,"01 Cwalina, Kuba",0,15,4,1,1,0,0,0,13,1,3,0.38461538461538464,0.3333333333333333,NA,VTSU-Johnson,2026-02-03,0
05,"05 Urena, Oliver",0,16,8,2,1,0,0,2,3,5,3,0.25,0,0.5,VTSU-Johnson,2026-02-03,0
13,"13 Newell, Mark",0,19,11,0,1,0,0,0,2,4,7,0.5,NA,NA,VTSU-Johnson,2026-02-03,0
23,"23 Lee, Donovan",0,12,1,0,2,2,0,0,2,1,0,0.5,NA,NA,VTSU-Johnson,2026-02-03,0
14,"14 Alberts, Maxwell",0,3,0,1,0,0,0,0,0,0,0,NA,NA,NA,VTSU-Johnson,2026-02-03,0
32,"32 Gklaros-Stavropoulos, Alex",0,2,1,0,0,0,0,0,0,0,1,NA,NA,NA,VTSU-Johnson,2026-02-03,0
25,"25 Joseph, Rayanns",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,VTSU-Johnson,2026-02-03,0
33,"33 Imani, Benjamin",0,0,1,0,0,1,0,0,0,0,1,NA,NA,0,VTSU-Johnson,2026-02-03,0
TM,TM TEAM,0,0,2,0,0,0,0,0,0,1,1,NA,NA,NA,VTSU-Johnson,2026-02-03,0
,Totals,NA,200,59,16,19,13,0,9,97,25,34,0.4523809523809524,0.2777777777777778,0.6875,VTSU-Johnson,2026-02-03,0
21,"21 McKersie, Jackson",1,19,11,2,2,3,1,0,16,6,5,0.7777777777777778,NA,1,Middlebury,2026-02-01,0
04,"04 Ramey, Sawyer",1,31,6,1,2,3,0,0,13,2,4,0.46153846153846156,0.25,NA,Middlebury,2026-02-01,0
15,"15 Fuerbacher, Justin",1,28,4,2,2,2,0,1,10,0,4,0.5,0.3333333333333333,0.3333333333333333,Middlebury,2026-02-01,0
11,"11 Murray, Ian",1,27,4,3,3,1,0,2,7,0,4,0.2,0.14285714285714285,0.5,Middlebury,2026-02-01,0
12,"12 Witherington, Edward",1,25,4,2,1,0,0,0,7,1,3,0.5,0.5,1,Middlebury,2026-02-01,0
01,"01 Cwalina, Kuba",0,25,3,2,2,2,0,0,8,1,2,0.3333333333333333,0.3333333333333333,NA,Middlebury,2026-02-01,0
13,"13 Newell, Mark",0,16,3,1,0,1,0,0,8,2,1,1,NA,1,Middlebury,2026-02-01,0
20,"20 Ducree, Dominick",0,18,3,1,2,1,0,1,2,1,2,0.14285714285714285,0,0,Middlebury,2026-02-01,0
23,"23 Lee, Donovan",0,7,0,3,1,0,0,0,0,0,0,0,0,NA,Middlebury,2026-02-01,0
05,"05 Urena, Oliver",0,4,1,0,0,0,0,1,0,1,0,NA,NA,NA,Middlebury,2026-02-01,0
TM,TM Team,0,0,2,0,0,0,0,0,0,1,1,NA,NA,NA,Middlebury,2026-02-01,0
,Totals,NA,200,41,17,15,13,1,5,71,15,26,0.4375,0.21428571428571427,0.6,Middlebury,2026-02-01,0
23,23 Babacar Pouye,1,24,5,4,1,1,2,1,22,3,2,0.7272727272727273,0.7142857142857143,0.5,Bates,2026-02-01,1
14,14 Brady Coyne,1,28,2,2,2,1,1,2,16,0,2,0.36363636363636365,0.42857142857142855,0.7142857142857143,Bates,2026-02-01,1
22,22 Peter Psyhogeos,1,22,3,1,1,0,1,0,11,0,3,0.375,0.25,1,Bates,2026-02-01,1
02,02 Elliott Cravitz,1,26,2,1,1,1,0,1,6,0,2,0.5,0.6666666666666666,NA,Bates,2026-02-01,1
25,25 Sean O'Leary,1,26,0,1,6,3,0,3,3,0,0,0,NA,0.75,Bates,2026-02-01,1
